127.0.0.1 - - [26/Jul/2023:21:57:35 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [26/Jul/2023:21:57:35 +0530] "GET /JavaServer/index.html HTTP/1.1" 200 1009
0:0:0:0:0:0:0:1 - - [26/Jul/2023:21:57:35 +0530] "GET /JavaServer/styles.css HTTP/1.1" 200 328
0:0:0:0:0:0:0:1 - - [26/Jul/2023:21:57:35 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [26/Jul/2023:21:57:45 +0530] "GET /h2hbackend/Read HTTP/1.1" 404 770
0:0:0:0:0:0:0:1 - - [26/Jul/2023:22:02:17 +0530] "GET /h2hbackend/Read HTTP/1.1" 404 770
0:0:0:0:0:0:0:1 - - [26/Jul/2023:22:04:41 +0530] "POST /JavaServer/read HTTP/1.1" 200 4945
0:0:0:0:0:0:0:1 - - [26/Jul/2023:22:05:12 +0530] "GET /JavaServer/read HTTP/1.1" 200 4945
0:0:0:0:0:0:0:1 - - [26/Jul/2023:22:05:32 +0530] "GET /JavaServer/read HTTP/1.1" 200 4945
0:0:0:0:0:0:0:1 - - [26/Jul/2023:22:05:46 +0530] "GET /JavaServer/read HTTP/1.1" 200 4945
0:0:0:0:0:0:0:1 - - [26/Jul/2023:22:05:48 +0530] "GET /JavaServer/read HTTP/1.1" 200 4945
0:0:0:0:0:0:0:1 - - [26/Jul/2023:22:08:37 +0530] "GET /JavaServer/read HTTP/1.1" 200 4945
0:0:0:0:0:0:0:1 - - [26/Jul/2023:22:08:41 +0530] "GET /JavaServer/read HTTP/1.1" 200 4945
0:0:0:0:0:0:0:1 - - [26/Jul/2023:22:10:07 +0530] "GET /JavaServer/read HTTP/1.1" 200 4945
0:0:0:0:0:0:0:1 - - [26/Jul/2023:22:29:00 +0530] "GET /JavaServer/read HTTP/1.1" 200 4945
0:0:0:0:0:0:0:1 - - [26/Jul/2023:23:05:15 +0530] "GET /JavaServer/read HTTP/1.1" 200 4945
0:0:0:0:0:0:0:1 - - [26/Jul/2023:23:08:11 +0530] "GET /JavaServer/read HTTP/1.1" 200 4945
0:0:0:0:0:0:0:1 - - [26/Jul/2023:23:09:18 +0530] "GET /JavaServer/read HTTP/1.1" 200 4945
0:0:0:0:0:0:0:1 - - [26/Jul/2023:23:11:58 +0530] "GET /JavaServer/read HTTP/1.1" 200 4945
0:0:0:0:0:0:0:1 - - [26/Jul/2023:23:15:13 +0530] "GET /JavaServer/read HTTP/1.1" 200 4945
0:0:0:0:0:0:0:1 - - [26/Jul/2023:23:16:08 +0530] "GET /JavaServer/read HTTP/1.1" 200 4945
0:0:0:0:0:0:0:1 - - [26/Jul/2023:23:30:27 +0530] "GET /JavaServer/read HTTP/1.1" 200 4945
0:0:0:0:0:0:0:1 - - [26/Jul/2023:23:30:33 +0530] "GET /JavaServer/read HTTP/1.1" 200 4945
0:0:0:0:0:0:0:1 - - [26/Jul/2023:23:30:47 +0530] "GET /JavaServer/read HTTP/1.1" 200 4945
0:0:0:0:0:0:0:1 - - [26/Jul/2023:23:30:51 +0530] "GET /JavaServer/read HTTP/1.1" 200 4945
0:0:0:0:0:0:0:1 - - [26/Jul/2023:23:31:20 +0530] "GET /JavaServer/read HTTP/1.1" 200 4945
0:0:0:0:0:0:0:1 - - [26/Jul/2023:23:31:31 +0530] "GET /JavaServer/read HTTP/1.1" 200 4945
0:0:0:0:0:0:0:1 - - [26/Jul/2023:23:31:42 +0530] "GET /JavaServer/read HTTP/1.1" 200 4945
0:0:0:0:0:0:0:1 - - [26/Jul/2023:23:31:45 +0530] "GET /JavaServer/read HTTP/1.1" 200 4945
